trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2025-07-21,2025-07-21,SPX,0,RJL,6311.58,18.05,6310.0,6300.0,6315.0,6345.0,10.0,30.0,3.42,970.0,6305.6,16.41,716.0,716.0,WIN,expiration,2025-07-21,0,,2030.0,97.0,242.5,485.0,716.0
2025-07-22,2025-07-22,SPX,0,RJL,6303.08,19.6,6300.0,6290.0,6305.0,6335.0,10.0,30.0,1.92,1205.0,6309.62,16.64,792.0,792.0,WIN,expiration,2025-07-22,0,,1795.0,120.5,301.25,602.5,792.0
2025-07-23,2025-07-23,SPX,0,RJL,6328.77,19,6325.0,6315.0,6330.0,6360.0,10.0,30.0,1.23,1170.0,6358.91,16.5,-1821.0,-1821.0,LOSS,expiration,2025-07-23,0,,1830.0,117.0,292.5,-1821.0,-1821.0
2025-07-24,2025-07-24,SPX,0,RJL,6370.9,18.75,6370.0,6360.0,6375.0,6405.0,10.0,30.0,4.1,962.0,6363.35,15.38,365.0,365.0,WIN,expiration,2025-07-24,0,,2038.0,96.2,240.5,481.0,721.5
2025-07-25,2025-07-25,SPX,0,RJL,6371.81,18.6,6370.0,6360.0,6375.0,6405.0,10.0,30.0,3.19,1030.0,6388.64,15.4,-429.0,-429.0,LOSS,expiration,2025-07-25,0,,1970.0,103.0,-429.0,-429.0,-429.0
2025-07-28,2025-07-28,SPX,0,RJL,6399.49,18.5,6395.0,6385.0,6400.0,6430.0,10.0,30.0,0.51,1058.0,6389.77,14.93,515.0,515.0,WIN,expiration,2025-07-28,0,,1942.0,105.8,264.5,515.0,515.0
2025-07-29,2025-07-29,SPX,0,RJL,6409.26,16.85,6405.0,6395.0,6410.0,6440.0,10.0,30.0,0.74,957.0,6370.86,15.03,-43.0,-43.0,LOSS,expiration,2025-07-29,0,,2043.0,95.7,-43.0,-43.0,-43.0
2025-07-30,2025-07-30,SPX,0,RJL,6373.96,29.8,6370.0,6360.0,6385.0,6415.0,10.0,30.0,11.04,1128.0,6362.9,15.98,610.0,610.0,WIN,expiration,2025-07-30,0,,1872.0,112.8,282.0,610.0,610.0
2025-07-31,2025-07-31,SPX,0,RJL,6405.5,27.4,6405.0,6395.0,6415.0,6445.0,10.0,30.0,9.5,1158.0,6339.39,15.45,158.0,158.0,WIN,expiration,2025-07-31,0,,1842.0,115.8,289.5,158.0,158.0
2025-08-01,2025-08-01,SPX,0,RJL,6273.23,41.5,6270.0,6260.0,6300.0,6330.0,10.0,30.0,26.77,1045.0,6238.01,16.75,45.0,45.0,WIN,expiration,2025-08-01,0,,1955.0,104.5,261.25,45.0,45.0
