trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,pnl_usd,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,iv_atm_pct,em_pct,expected_move
2022-12-30,2023-01-27,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3818.57,4070.02,3715,3620,3325,430.0,22.03,-430.0,LOSS,expiration,100,-1550,225.0,-255.0,-295.0,-240.0,-335.0,-335.0,22.03,6.1,233.0
2023-01-06,2023-02-03,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3821.08,4136.52,3715,3620,3325,1530.0,21.85,-1530.0,LOSS,expiration,0,-1670,-125.0,10.0,-255.0,-320.0,-332.5,-340.0,21.85,6.05,231.2
2023-01-13,2023-02-10,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3961.6,4090.49,3870,3785,3500,1860.0,18.7,-1860.0,LOSS,expiration,0,-3090,-15.0,110.0,225.0,-165.0,-177.5,-202.5,18.7,5.18,205.2
2023-01-20,2023-02-17,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3910.21,4078.98,3810,3715,3390,1800.0,20.23,-1800.0,LOSS,expiration,0,-3105,-40.0,-235.0,-200.0,-180.0,-250.0,-275.0,20.23,5.6,219.1
2023-01-27,2023-02-24,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4061.85,3970.42,3970,3880,3570,1850.0,18.38,-1850.0,LOSS,expiration,780,-4620,35.0,215.0,70.0,180.0,655.0,655.0,18.38,5.09,206.8
2023-02-03,2023-03-03,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4149.73,4045.32,4060,3965,3610,300.0,18.46,1168.0,WIN,expiration,5670,-2040,-105.0,485.0,845.0,2070.0,2785.0,3690.0,18.46,5.11,212.2
2023-02-10,2023-03-10,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4073.56,3861.68,3965,3860,3500,1740.0,21.31,8592.0,WIN,expiration,8060,-1710,250.0,755.0,1470.0,1770.0,390.0,530.0,21.31,5.9,240.4
2023-02-17,2023-03-17,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4054.66,3916.47,3950,3845,3480,260.0,21.02,3093.0,WIN,expiration,3730,-1940,220.0,975.0,655.0,1265.0,875.0,2215.0,21.02,5.82,236.1
2023-02-24,2023-03-24,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3951.24,3971.35,3840,3725,3350,1720.0,22.76,-1720.0,LOSS,expiration,0,-2360,395.0,665.0,630.0,390.0,850.0,25.0,22.76,6.3,249.1
2023-03-03,2023-03-31,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4009.72,4108.9,3910,3815,3530,1300.0,19.21,-1300.0,LOSS,expiration,0,-2880,-240.0,140.0,170.0,620.0,390.0,575.0,19.21,5.32,213.3
