trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2024-01-22,2024-01-26,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4866.63,4890.07,4865.0,4855.0,4875.0,65.0,13.59,11.86,60.4,65.0,110.0,110.0,110.0,WIN,expiration,245.0,-1370.0,-30.0
2024-02-05,2024-02-09,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4950.34,5025.89,4950.0,4940.0,4960.0,65.0,13.91,12.75,66.1,65.0,30.0,35.0,70.0,WIN,expiration,105.0,-1530.0,-10.0
2024-02-12,2024-02-16,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5028.04,5005.15,5030.0,5020.0,5040.0,65.0,13.54,12.23,64.4,65.0,27.5,35.0,62.5,WIN,expiration,62.5,-350.0,27.5
2024-02-26,2024-03-01,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5092.83,5137.04,5095.0,5085.0,5105.0,95.0,13.93,11.77,62.8,95.0,30.0,555.0,555.0,WIN,expiration,555.0,-950.0,35.0
2024-03-04,2024-03-08,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5133.5,5124.37,5135.0,5125.0,5145.0,60.0,13.51,12.48,67.1,60.0,130.0,130.0,130.0,WIN,expiration,130.0,-570.0,130.0
2024-03-11,2024-03-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5100.17,5117.42,5100.0,5085.0,5115.0,95.0,15.87,17.18,91.7,95.0,85.0,85.0,85.0,WIN,expiration,290.0,-1690.0,-20.0
2024-03-18,2024-03-22,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5159.26,5234.27,5160.0,5145.0,5175.0,95.0,14.56,16.57,89.5,95.0,40.0,205.0,205.0,WIN,expiration,205.0,-1420.0,-15.0
2024-03-25,2024-03-28,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),5222.6,5255.6,5225.0,5215.0,5235.0,75.0,13.29,11.28,53.4,75.0,20.0,310.0,310.0,WIN,expiration,930.0,-2520.0,0.0
2024-04-01,2024-04-05,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5261.12,5204.8,5260.0,5250.0,5270.0,245.0,13.59,11.5,63.4,245.0,190.0,190.0,190.0,WIN,expiration,370.0,-990.0,215.0
2024-04-08,2024-04-12,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5206.44,5123.6,5205.0,5190.0,5220.0,100.0,15.94,16.41,89.5,100.0,295.0,295.0,295.0,WIN,expiration,295.0,-410.0,-0.0
