trade_id,Opened,Closed,exit_reason,pnl,premium
179,2024-11-08,2024-11-20,take_profit,632.5,2530
180,2024-11-15,2024-11-20,take_profit,1002.5,4010
181,2024-11-22,2024-12-05,expiration,-500.6199999999999,3630
182,2024-11-29,2024-12-12,expiration,-228.61999999999995,3760
183,2024-12-06,2024-12-18,stop_loss,-2105.0,2105
184,2024-12-13,2024-12-26,expiration,-683.62,3720
185,2024-12-20,2025-01-02,expiration,-1421.62,4280
186,2024-12-27,2025-01-10,expiration,508.3800000000001,3685
187,2025-01-03,2025-01-06,take_profit,760.0,3040
188,2025-01-10,2025-01-23,expiration,-2408.62,4580
189,2025-01-17,2025-01-30,expiration,1337.3799999999999,3520
190,2025-01-24,2025-01-30,take_profit,817.5,3270
191,2025-01-31,2025-02-12,take_profit,650.0,2600
192,2025-02-07,2025-02-20,expiration,264.38,3995
193,2025-02-14,2025-02-27,expiration,-650.6199999999999,3385
194,2025-02-21,2025-03-06,expiration,741.3800000000001,3340
195,2025-02-28,2025-03-13,expiration,-2093.62,4055
196,2025-03-07,2025-03-20,expiration,-867.62,3630
197,2025-03-14,2025-03-27,expiration,804.38,4980
198,2025-03-21,2025-04-01,take_profit,955.0,3820
199,2025-03-28,2025-04-01,take_profit,795.0,3180
200,2025-04-04,2025-04-10,take_profit,1230.0,4920
201,2025-04-11,2025-04-24,expiration,897.38,5920
202,2025-04-25,2025-05-07,take_profit,1152.5,4610
203,2025-05-02,2025-05-15,expiration,-550.6199999999999,4840
204,2025-05-09,2025-05-22,expiration,862.3800000000001,4220
205,2025-05-16,2025-05-22,take_profit,1136.25,4545
206,2025-05-23,2025-06-05,expiration,-145.6199999999999,4525
207,2025-05-30,2025-06-12,take_profit,1022.5,4090
208,2025-06-06,2025-06-12,take_profit,977.5,3910
209,2025-06-13,2025-06-26,expiration,-130.6199999999999,3770
210,2025-06-20,2025-07-03,expiration,-3528.62,5190
211,2025-06-27,2025-07-10,expiration,169.3800000000001,4285
212,2025-07-11,2025-07-24,expiration,114.38000000000011,5630
213,2025-07-18,2025-07-31,expiration,369.38,3795
214,2025-07-25,2025-08-07,expiration,61.379999999999995,3650
215,2025-08-01,2025-08-14,expiration,-1017.6199999999999,4035
216,2025-08-08,2025-08-21,expiration,586.3800000000001,4185
217,2025-08-15,2025-08-28,expiration,-355.62,3095
218,2025-08-22,2025-09-04,expiration,164.38,3795
219,2025-08-29,2025-09-11,expiration,749.3800000000001,4270
220,2025-09-05,2025-09-16,take_profit,885.0,3540
221,2025-09-12,2025-09-18,take_profit,1043.75,4175
222,2025-09-19,2025-09-23,take_profit,1012.5,4050
223,2025-09-26,2025-10-07,take_profit,1168.75,4675
224,2025-10-03,2025-10-15,take_profit,1138.75,4555
225,2025-10-10,2025-10-15,take_profit,1353.75,5415
226,2025-10-17,2025-10-30,expiration,749.3800000000001,4685
227,2025-10-24,2025-10-29,take_profit,1012.5,4050
228,2025-10-31,2025-11-13,expiration,-253.6199999999999,5640
229,2025-11-07,2025-11-13,take_profit,953.75,3815
230,2025-11-14,2025-11-21,take_profit,1215.0,4860
231,2025-11-21,2025-12-04,expiration,-1445.62,6345
232,2025-11-28,2025-12-11,expiration,-1052.6200000000001,5475
233,2025-12-05,2025-12-18,expiration,-828.62,2930
234,2025-12-12,2025-12-26,expiration,-1913.62,4400
235,2025-12-19,2026-01-02,expiration,-628.6199999999999,5220
236,2025-12-26,2026-01-08,expiration,-510.61999999999995,4865
237,2026-01-02,2026-01-13,take_profit,842.5,3370
238,2026-01-09,2026-01-22,expiration,-1091.62,5500
239,2026-01-16,2026-01-29,expiration,781.3800000000001,4770
240,2026-01-23,2026-01-28,take_profit,998.75,3995
241,2026-01-30,2026-02-04,take_profit,1012.5,4050
242,2026-02-06,2026-02-18,take_profit,1330.0,5320
243,2026-02-13,2026-02-19,take_profit,1200.0,4800
244,2026-02-20,2026-03-05,take_profit,1212.5,4850
245,2026-02-27,2026-03-02,take_profit,1322.5,5290
246,2026-03-06,2026-03-12,take_profit,1340.0,5360
247,2026-03-13,2026-03-26,expiration,349.3800000000001,5310
248,2026-03-20,2026-03-27,take_profit,1668.75,6675
249,2026-03-27,2026-04-09,expiration,-3832.62,6730
250,2026-04-10,2026-04-23,expiration,-232.6199999999999,5680
251,2026-04-17,2026-04-30,expiration,354.38,4630
