Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2022-10-14,2022-10-27,3605,-2648.08,5.08,2022-10-27,1420,2527.46,2.54,5025,-120.61999999999989,7.62,2022-10-27,73
2022-10-21,2022-11-03,3775,524.92,5.08,2022-11-03,1375,-967.54,2.54,5150,-442.62,7.62,2022-11-03,74
2022-10-28,2022-11-10,2265,1061.92,5.08,2022-11-10,840,-10.54,2.54,3105,1051.38,7.62,2022-11-10,75
2022-11-04,2022-11-17,1810,-1083.08,5.08,2022-11-17,660,1622.46,2.54,2470,539.3800000000001,7.62,2022-11-17,76
2022-11-11,2022-11-25,2900,146.92,5.08,2022-11-25,1040,-770.54,2.54,3940,-623.62,7.62,2022-11-25,77
2022-11-18,2022-12-01,2575,-1493.08,5.08,2022-12-01,935,727.46,2.54,3510,-765.6199999999999,7.62,2022-12-01,78
2022-11-25,2022-12-08,4280,2079.92,5.08,2022-12-08,1725,-1110.54,2.54,6005,969.3800000000001,7.62,2022-12-08,79
2022-12-02,2022-12-15,1415,916.92,5.08,2022-12-15,375,-355.54,2.54,1790,561.3799999999999,7.62,2022-12-15,80
2022-12-09,2022-12-22,1655,609.92,5.08,2022-12-22,570,-540.54,2.54,2225,69.38,7.62,2022-12-22,81
2022-12-16,2022-12-29,2655,689.92,5.08,2022-12-29,940,-625.54,2.54,3595,64.38,7.62,2022-12-29,82
2022-12-23,2023-01-05,4015,601.92,5.08,2023-01-05,1560,-782.54,2.54,5575,-180.62,7.62,2023-01-05,83
2022-12-30,2023-01-12,1865,-1108.08,5.08,2023-01-12,660,1412.46,2.54,2525,304.3800000000001,7.62,2023-01-12,84
2023-01-06,2023-01-19,2095,591.92,5.08,2023-01-19,755,-552.54,2.54,2850,39.379999999999995,7.62,2023-01-19,85
2023-01-13,2023-01-26,3565,196.92,5.08,2023-01-26,1425,909.46,2.54,4990,1106.38,7.62,2023-01-26,86
2023-01-20,2023-02-02,1610,-926.08,5.08,2023-02-02,515,1172.46,2.54,2125,246.38,7.62,2023-02-02,87
2023-01-27,2023-02-09,2370,2749.92,5.08,2023-02-09,770,109.46,2.54,3140,2859.38,7.62,2023-02-09,88
2023-02-03,2023-02-16,1525,924.92,5.08,2023-02-16,525,-438.54,2.54,2050,486.37999999999994,7.62,2023-02-16,89
2023-02-10,2023-02-23,1945,204.92,5.08,2023-02-23,640,-620.54,2.54,2585,-415.62,7.62,2023-02-23,90
2023-02-17,2023-03-02,2820,149.92,5.08,2023-03-02,1030,-965.54,2.54,3850,-815.62,7.62,2023-03-02,91
2023-02-24,2023-03-09,2885,1499.92,5.08,2023-03-09,985,-555.54,2.54,3870,944.3800000000001,7.62,2023-03-09,92
2023-03-03,2023-03-16,2850,1701.92,5.08,2023-03-16,1020,-892.54,2.54,3870,809.3800000000001,7.62,2023-03-16,93
2023-03-10,2023-03-23,2075,634.92,5.08,2023-03-23,630,897.46,2.54,2705,1532.38,7.62,2023-03-23,94
2023-03-17,2023-03-30,1665,-865.08,5.08,2023-03-30,655,1172.46,2.54,2320,307.38,7.62,2023-03-30,95
2023-03-24,2023-04-06,3120,-2246.08,5.08,2023-04-06,1210,2432.46,2.54,4330,186.3800000000001,7.62,2023-04-06,96
2023-03-31,2023-04-13,2060,-123.08,5.08,2023-04-13,725,64.46,2.54,2785,-58.620000000000005,7.62,2023-04-13,97
