trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2022-02-04,2022-03-18,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4484.16,4462.85,4485.0,4330.0,4640.0,3025.0,24.54,20.13,306.2,-10260.0,872.5,1530.0,-10260.0,LOSS,expiration,2185.0,-11395.0,-820.0,-705.0,-1825.0,610.0,-272.5,1510.0,1872.5
2022-03-18,2022-04-29,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4407.41,4132.17,4405.0,4245.0,4565.0,3385.0,25.55,21.73,324.9,3385.0,855.0,1760.0,2735.0,WIN,expiration,3385.0,-5370.0,1770.0,-385.0,-2785.0,-2675.0,-4150.0,-437.5,-1360.0
2022-04-08,2022-05-20,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4476.48,3901.55,4475.0,4325.0,4625.0,2990.0,22.27,19.48,295.7,2990.0,1467.5,1515.0,2365.0,WIN,expiration,2995.0,-3460.0,-975.0,-1105.0,1985.0,2550.0,2922.5,2970.0,2980.0
2022-04-22,2022-06-03,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4355.15,4108.23,4360.0,4210.0,4510.0,2585.0,23.9,20.13,297.4,2585.0,785.0,1295.0,2020.0,WIN,expiration,2585.0,-4610.0,-1075.0,1142.5,2300.0,2407.5,1260.0,1327.5,1327.5
2022-04-29,2022-06-10,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4267.85,3900.16,4270.0,4100.0,4440.0,3185.0,28.98,23.16,335.3,3185.0,905.0,1820.0,2690.0,WIN,expiration,3190.0,-7150.0,-360.0,1572.5,-1735.0,-1807.5,-3880.0,-3482.5,-962.5
2022-05-06,2022-06-17,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4146.87,3673.63,4145.0,3895.0,4395.0,6295.0,35.09,35.69,502.0,6295.0,3452.5,3452.5,5062.5,WIN,expiration,6295.0,-8675.0,-2005.0,-3655.0,-4545.0,-6285.0,-4785.0,3452.5,4477.5
2022-06-03,2022-07-15,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4134.22,3861.56,4135.0,3980.0,4290.0,2930.0,25.29,22.35,313.4,2930.0,790.0,2295.0,2295.0,WIN,expiration,2930.0,-2530.0,1005.0,725.0,1995.0,2442.5,1797.5,2287.5,2557.5
2022-06-17,2022-07-29,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3698.69,4130.48,3700.0,3530.0,3870.0,3290.0,31.44,27.28,342.3,3290.0,855.0,1860.0,2480.0,WIN,expiration,3290.0,-8460.0,325.0,350.0,-925.0,125.0,2110.0,1745.0,1770.0
2022-06-24,2022-08-05,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3852.1,4144.66,3850.0,3680.0,4020.0,3550.0,28.4,26.22,342.7,3550.0,965.0,2290.0,2755.0,WIN,expiration,3550.0,-8450.0,-125.0,-1560.0,-180.0,-1355.0,1590.0,2795.0,2195.0
2022-07-01,2022-08-12,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3800.64,4279.35,3800.0,3630.0,3970.0,3385.0,27.94,26.09,336.3,3385.0,895.0,1780.0,2560.0,WIN,expiration,3415.0,-5850.0,-450.0,720.0,1770.0,2025.0,2980.0,3285.0,3090.0
2022-07-08,2022-08-19,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3874.9,4228.37,3875.0,3725.0,4025.0,2835.0,25.76,23.02,302.6,2835.0,810.0,1520.0,2385.0,WIN,expiration,3215.0,-7200.0,-155.0,715.0,1635.0,1400.0,2430.0,2800.0,2820.0
2022-07-15,2022-08-31,SPX,47,0.50,Inverse Butterfly 1-2-1 (calls),3826.81,3955.12,3825.0,3655.0,3995.0,3315.0,25.31,24.51,336.5,-673.0,900.0,1685.0,2500.0,LOSS,expiration,3205.0,-6895.0,1635.0,2395.0,2975.0,2550.0,2420.0,3160.0,1480.0
2022-08-05,2022-09-16,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4131.1,3872.56,4130.0,3985.0,4275.0,3150.0,21.7,20.67,289.7,3150.0,915.0,1942.5,2585.0,WIN,expiration,3155.0,-4210.0,825.0,-510.0,-917.5,660.0,-2512.5,-3635.0,-1195.0
2022-08-12,2022-09-23,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4234.43,3695.23,4230.0,4090.0,4370.0,3035.0,19.84,19.5,280.1,3035.0,857.5,1597.5,2422.5,WIN,expiration,3035.0,-3460.0,-385.0,802.5,200.0,857.5,2552.5,2857.5,2892.5
2022-08-19,2022-09-30,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4237.6,3589.7,4240.0,4105.0,4375.0,2520.0,20.72,18.95,272.4,2520.0,722.5,1310.0,2152.5,WIN,expiration,2520.0,-1880.0,150.0,-45.0,1815.0,2185.0,2500.0,2517.5,2515.0
2022-08-26,2022-10-07,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4197.3,3640.38,4200.0,4060.0,4340.0,2690.0,22.06,19.32,275.0,2690.0,675.0,1662.5,2237.5,WIN,expiration,2892.5,-2150.0,545.0,1087.5,2477.5,2615.0,2680.0,2692.5,2680.0
2022-09-02,2022-10-14,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),3983.57,3585.73,3980.0,3830.0,4130.0,2945.0,24.16,22.47,303.6,2945.0,752.5,1552.5,2487.5,WIN,expiration,2947.5,-3510.0,-410.0,-65.0,1575.0,52.5,640.0,2632.5,2830.0
2022-09-09,2022-10-21,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4045.35,3752.75,4045.0,3895.0,4195.0,3150.0,22.91,21.6,296.4,3150.0,885.0,1752.5,2417.5,WIN,expiration,3152.5,-5740.0,-365.0,2130.0,1390.0,2920.0,2690.0,3005.0,2812.5
