trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2023-03-17,2023-03-23,SPX,7,970.0,542.38,25.51,WIN,expiration,True
2023-03-24,2023-03-30,SPX,7,1110.0,-43.62,21.74,LOSS,expiration,False
2023-03-31,2023-04-06,SPX,7,1885.0,93.38,18.7,WIN,expiration,True
2023-04-14,2023-04-20,SPX,7,825.0,121.38,17.07,WIN,expiration,True
2023-04-21,2023-04-27,SPX,7,820.0,79.38,16.77,WIN,expiration,True
2023-04-28,2023-05-04,SPX,7,615.0,103.38,15.78,WIN,expiration,True
2023-05-05,2023-05-11,SPX,7,775.0,-28.62,17.19,LOSS,expiration,False
2023-05-12,2023-05-18,SPX,7,815.0,-62.62,17.03,LOSS,expiration,False
2023-05-19,2023-05-25,SPX,7,1015.0,328.38,16.81,WIN,expiration,True
2023-05-26,2023-06-01,SPX,7,840.0,-280.62,17.95,LOSS,expiration,False
2023-06-02,2023-06-08,SPX,7,685.0,-28.62,14.6,LOSS,expiration,False
2023-06-09,2023-06-15,SPX,7,650.0,-220.62,13.83,LOSS,expiration,False
2023-06-16,2023-06-22,SPX,7,800.0,-361.62,13.54,LOSS,expiration,False
2023-06-23,2023-06-29,SPX,7,600.0,36.38,13.44,WIN,expiration,True
2023-06-30,2023-07-06,SPX,7,695.0,-178.62,13.59,LOSS,expiration,False
2023-07-07,2023-07-13,SPX,7,695.0,-293.62,14.83,LOSS,expiration,False
2023-07-14,2023-07-20,SPX,7,645.0,156.38,13.34,WIN,expiration,True
2023-07-21,2023-07-27,SPX,7,650.0,19.38,13.6,WIN,expiration,True
2023-07-28,2023-08-03,SPX,7,640.0,-148.62,13.33,LOSS,expiration,False
2023-08-04,2023-08-10,SPX,7,805.0,84.38,17.1,WIN,expiration,True
2023-08-11,2023-08-17,SPX,7,840.0,-93.62,14.84,LOSS,expiration,False
2023-08-18,2023-08-24,SPX,7,850.0,56.38,17.3,WIN,expiration,True
2023-08-25,2023-08-31,SPX,7,865.0,-303.62,15.68,LOSS,expiration,False
2023-09-01,2023-09-07,SPX,7,720.0,-141.62,13.09,LOSS,expiration,False
2023-09-08,2023-09-14,SPX,7,710.0,-53.62,13.84,LOSS,expiration,False
2023-09-15,2023-09-21,SPX,7,665.0,-285.62,13.79,LOSS,expiration,False
2023-09-22,2023-09-28,SPX,7,780.0,136.38,17.2,WIN,expiration,True
2023-09-29,2023-10-05,SPX,7,840.0,69.38,17.52,WIN,expiration,True
2023-10-06,2023-10-12,SPX,7,895.0,94.38,17.45,WIN,expiration,True
2023-10-13,2023-10-19,SPX,7,895.0,506.38,19.32,WIN,expiration,True
2023-10-20,2023-10-26,SPX,7,1045.0,66.38,21.71,WIN,expiration,True
2023-10-27,2023-11-02,SPX,7,1025.0,-770.62,21.27,LOSS,expiration,False
2023-11-03,2023-11-09,SPX,7,800.0,38.38,14.91,WIN,expiration,True
2023-11-10,2023-11-16,SPX,7,705.0,-190.62,14.17,LOSS,expiration,False
