trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2024-08-02,2024-08-16,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5355.7,5554.22,5355.0,5320.0,5390.0,225.0,21.55,20.66,216.7,225.0,56.25,112.5,168.75,WIN,expiration,370.0,-6600.0,-5.0,-60.0,-70.0,-170.0,-90.0,-5.0,-60.0,56.25,56.25,56.25,-5.0,-60.0,112.5,112.5,112.5,-5.0,-60.0,168.75,168.75,168.75
2024-08-09,2024-08-23,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5306.78,5633.31,5305.0,5270.0,5340.0,205.0,24.06,21.48,223.2,205.0,51.25,102.5,153.75,WIN,expiration,810.0,-4590.0,15.0,40.0,160.0,205.0,215.0,15.0,51.25,51.25,51.25,51.25,15.0,102.5,102.5,102.5,102.5,15.0,40.0,153.75,153.75,153.75
2024-08-16,2024-08-30,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5535.25,5646.96,5535.0,5515.0,5555.0,30.0,15.38,13.15,142.6,30.0,30.0,30.0,30.0,WIN,expiration,225.0,-5270.0,-80.0,-35.0,-65.0,-45.0,-45.0,-80.0,-35.0,30.0,30.0,30.0,-80.0,-35.0,30.0,30.0,30.0,-80.0,-35.0,30.0,30.0,30.0
2024-08-23,2024-09-06,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5608.63,5409.16,5610.0,5590.0,5630.0,120.0,16.86,13.21,145.0,120.0,30.0,60.0,90.0,WIN,expiration,155.0,-3450.0,35.0,-10.0,-30.0,-35.0,-35.0,30.0,30.0,30.0,30.0,30.0,35.0,60.0,60.0,60.0,60.0,35.0,90.0,90.0,90.0,90.0
2024-08-30,2024-09-13,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5627.85,5625.53,5630.0,5610.0,5650.0,200.0,15.1,11.26,124.1,-1353.0,50.0,100.0,150.0,LOSS,expiration,380.0,-3720.0,75.0,380.0,75.0,142.5,130.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,75.0,150.0,150.0,150.0,150.0
2024-09-06,2024-09-20,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5486.27,5702.51,5485.0,5455.0,5515.0,200.0,20.17,17.33,186.2,200.0,50.0,100.0,150.0,WIN,expiration,395.0,-4130.0,15.0,-10.0,90.0,10.0,-80.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0
2024-09-13,2024-09-27,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5616.5,5737.26,5615.0,5590.0,5640.0,280.0,16.83,14.33,157.6,280.0,70.0,140.0,210.0,WIN,expiration,745.0,-4130.0,145.0,335.0,140.0,180.0,365.0,70.0,70.0,70.0,70.0,70.0,140.0,140.0,140.0,140.0,140.0,210.0,210.0,210.0,210.0,210.0
2024-09-20,2024-10-04,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5692.9,5749.63,5695.0,5675.0,5715.0,110.0,16.32,12.89,143.7,110.0,27.5,55.0,82.5,WIN,expiration,115.0,-2040.0,-15.0,65.0,-20.0,-10.0,-40.0,-15.0,27.5,27.5,27.5,27.5,-15.0,55.0,55.0,55.0,55.0,-15.0,65.0,82.5,82.5,82.5
2024-09-27,2024-10-11,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5751.94,5814.91,5750.0,5730.0,5770.0,120.0,15.48,12.31,138.7,120.0,30.0,60.0,90.0,WIN,expiration,510.0,-3160.0,0.0,15.0,-5.0,-35.0,-55.0,0.0,30.0,30.0,30.0,30.0,0.0,60.0,60.0,60.0,60.0,0.0,90.0,90.0,90.0,90.0
2024-10-04,2024-10-18,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5720.73,5864.52,5720.0,5695.0,5745.0,155.0,19.69,14.76,165.4,155.0,38.75,77.5,116.25,WIN,expiration,515.0,-2840.0,-10.0,-5.0,0.0,65.0,120.0,38.75,38.75,38.75,38.75,38.75,77.5,77.5,77.5,77.5,77.5,-10.0,-5.0,0.0,65.0,116.25
