trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2025-02-07,2025-02-20,SPX,14,475.0,119.38,16.54,WIN,expiration,True
2025-02-14,2025-02-27,SPX,14,595.0,179.38,14.77,WIN,expiration,True
2025-02-21,2025-03-06,SPX,14,720.0,1172.38,18.21,WIN,expiration,True
2025-02-28,2025-03-13,SPX,14,785.0,-445.62,19.63,LOSS,expiration,False
2025-03-07,2025-03-20,SPX,14,710.0,-467.62,23.37,LOSS,expiration,False
2025-03-14,2025-03-27,SPX,14,1150.0,341.38,21.77,WIN,expiration,True
2025-03-21,2025-04-03,SPX,14,825.0,654.38,19.28,WIN,expiration,True
2025-03-28,2025-04-10,SPX,14,710.0,2521.38,21.65,WIN,expiration,True
2025-04-04,2025-04-17,SPX,14,975.0,30.38,45.31,WIN,expiration,True
2025-04-11,2025-04-24,SPX,14,1370.0,14.38,37.56,WIN,expiration,True
2025-04-25,2025-05-08,SPX,14,840.0,837.38,24.84,WIN,expiration,True
2025-05-02,2025-05-15,SPX,14,1385.0,995.38,22.68,WIN,expiration,True
2025-05-09,2025-05-22,SPX,14,1305.0,589.38,21.9,WIN,expiration,True
2025-05-16,2025-05-29,SPX,14,830.0,71.38,17.24,WIN,expiration,True
2025-05-23,2025-06-05,SPX,14,890.0,-67.62,22.29,LOSS,expiration,False
2025-05-30,2025-06-12,SPX,14,860.0,239.38,18.57,WIN,expiration,True
2025-06-06,2025-06-20,SPX,14,830.0,-106.62,16.77,LOSS,expiration,False
2025-06-13,2025-06-26,SPX,14,1050.0,-61.62,20.82,LOSS,expiration,False
2025-06-20,2025-07-03,SPX,14,1480.0,-1363.62,20.62,LOSS,expiration,False
2025-06-27,2025-07-10,SPX,14,885.0,-59.62,16.32,LOSS,expiration,False
2025-07-11,2025-07-24,SPX,14,860.0,-159.62,16.4,LOSS,expiration,False
2025-07-18,2025-07-31,SPX,14,820.0,84.38,16.41,WIN,expiration,True
2025-07-25,2025-08-07,SPX,14,845.0,-330.62,14.93,LOSS,expiration,False
2025-08-01,2025-08-14,SPX,14,940.0,-400.62,20.38,LOSS,expiration,False
2025-08-08,2025-08-21,SPX,14,640.0,158.38,15.15,WIN,expiration,True
2025-08-15,2025-08-28,SPX,14,810.0,-308.62,15.09,LOSS,expiration,False
2025-08-22,2025-09-04,SPX,14,680.0,-135.62,14.22,LOSS,expiration,False
2025-08-29,2025-09-11,SPX,14,730.0,33.38,15.36,WIN,expiration,True
2025-09-05,2025-09-18,SPX,14,735.0,106.38,15.18,WIN,expiration,True
2025-09-12,2025-09-25,SPX,14,765.0,156.38,14.76,WIN,expiration,True
2025-09-19,2025-10-02,SPX,14,755.0,-46.62,15.45,LOSS,expiration,False
2025-09-26,2025-10-09,SPX,14,910.0,72.38,15.29,WIN,expiration,True
2025-10-03,2025-10-16,SPX,14,1030.0,644.38,16.65,WIN,expiration,True
2025-10-10,2025-10-23,SPX,14,965.0,209.38,21.66,WIN,expiration,True
2025-10-17,2025-10-30,SPX,14,1115.0,207.38,20.78,WIN,expiration,True
2025-10-24,2025-11-06,SPX,14,465.0,-3.62,16.37,LOSS,expiration,False
2025-10-31,2025-11-13,SPX,14,1075.0,74.38,17.44,WIN,expiration,True
2025-11-07,2025-11-20,SPX,14,930.0,549.38,19.08,WIN,expiration,True
2025-11-14,2025-11-28,SPX,14,970.0,-719.62,19.83,LOSS,expiration,False
2025-11-21,2025-12-04,SPX,14,1260.0,-502.62,23.43,LOSS,expiration,False
2025-11-28,2025-12-11,SPX,14,1175.0,-582.62,16.35,LOSS,expiration,False
2025-12-05,2025-12-18,SPX,14,925.0,-473.62,15.41,LOSS,expiration,False
2025-12-12,2025-12-26,SPX,14,920.0,-739.62,15.74,LOSS,expiration,False
2025-12-19,2026-01-02,SPX,14,1090.0,38.38,14.91,WIN,expiration,True
2025-12-26,2026-01-08,SPX,14,880.0,-45.62,13.6,LOSS,expiration,False
2026-01-02,2026-01-15,SPX,14,1025.0,154.38,14.51,WIN,expiration,True
2026-01-09,2026-01-22,SPX,14,790.0,-246.62,14.49,LOSS,expiration,False
2026-01-16,2026-01-29,SPX,14,820.0,316.38,15.86,WIN,expiration,True
2026-01-23,2026-02-05,SPX,14,775.0,1116.38,16.09,WIN,expiration,True
2026-01-30,2026-02-12,SPX,14,1115.0,339.38,17.44,WIN,expiration,True
2026-02-06,2026-02-19,SPX,14,1005.0,143.38,17.76,WIN,expiration,True
2026-02-13,2026-02-26,SPX,14,990.0,-31.62,20.6,LOSS,expiration,False
2026-02-20,2026-03-05,SPX,14,960.0,524.38,19.09,WIN,expiration,True
2026-02-27,2026-03-12,SPX,14,1065.0,1281.38,19.86,WIN,expiration,True
2026-03-06,2026-03-19,SPX,14,1315.0,-623.62,29.49,LOSS,expiration,False
2026-03-13,2026-03-26,SPX,14,1505.0,277.38,27.19,WIN,expiration,True
2026-03-20,2026-04-02,SPX,14,1900.0,888.38,26.78,WIN,expiration,True
2026-03-27,2026-04-09,SPX,14,1910.0,-922.62,31.05,LOSS,expiration,False
2026-04-10,2026-04-23,SPX,14,1290.0,-187.62,19.23,LOSS,expiration,False
2026-04-17,2026-04-30,SPX,14,865.0,-111.62,17.48,LOSS,expiration,False
2026-04-24,2026-05-07,SPX,14,1420.0,-8.62,18.71,LOSS,expiration,False
