trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2022-05-13,2022-06-10,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3993.95,3900.16,3995.0,3775.0,4215.0,6065.0,29.71,26.54,293.6,-6451.0,-6451.0,-6451.0,-6451.0,LOSS,expiration,425.0,-12000.0,-1730.0,-1905.0,-1015.0,425.0,-575.0,-3580.0
2022-05-20,2022-06-17,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3933.8,3673.63,3935.0,3730.0,4140.0,5725.0,28.22,25.2,274.6,5725.0,1431.25,2862.5,4293.75,WIN,expiration,5722.5,-4570.0,455.0,2345.0,730.0,-1980.0,-1620.0,-925.0
2022-05-27,2022-06-24,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4115.44,3912.21,4115.0,3905.0,4325.0,6345.0,26.13,24.38,277.9,5624.0,1586.25,3172.5,4758.75,WIN,expiration,6330.0,-3290.0,-45.0,-1730.0,3727.5,5812.5,5837.5,5837.5
2022-06-03,2022-07-01,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4134.22,3825.03,4135.0,3940.0,4330.0,5490.0,25.29,22.74,260.4,5490.0,1372.5,2745.0,4117.5,WIN,expiration,5485.0,-3390.0,-785.0,4712.5,4310.0,4480.0,2660.0,1862.5
2022-06-10,2022-07-08,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3935.06,3899.18,3935.0,3720.0,4150.0,6060.0,27.92,26.35,287.1,-11858.0,1515.0,-11858.0,-11858.0,LOSS,expiration,1555.0,-14475.0,907.5,-1857.5,-4535.0,-2252.5,22.5,22.5
2022-06-17,2022-07-15,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3698.69,3861.56,3700.0,3490.0,3910.0,6090.0,31.44,27.44,281.2,1246.0,1522.5,1246.0,1246.0,WIN,expiration,2575.0,-10325.0,375.0,-610.0,-1815.0,1890.0,-275.0,-475.0
2022-06-24,2022-07-22,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3852.1,3962.24,3850.0,3640.0,4060.0,6665.0,28.4,26.3,280.6,-3111.0,-3111.0,-3111.0,-3111.0,LOSS,expiration,835.0,-11250.0,-2140.0,-1105.0,-2880.0,-4370.0,-5290.0,-6517.5
2022-07-01,2022-07-29,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3800.64,4130.48,3800.0,3590.0,4010.0,5945.0,27.94,26.62,280.3,5945.0,1486.25,2972.5,4458.75,WIN,expiration,6010.0,-6530.0,440.0,-2155.0,-1645.0,1730.0,160.0,-1010.0
2022-07-15,2022-08-12,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3826.81,4279.35,3825.0,3630.0,4020.0,5450.0,25.31,24.34,258.0,5450.0,1362.5,2725.0,4087.5,WIN,expiration,5485.0,-4660.0,1510.0,2770.0,3200.0,4375.0,5135.0,4640.0
2022-07-22,2022-08-19,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),3991.17,4228.37,3990.0,3815.0,4165.0,5495.0,23.25,21.09,233.1,5495.0,1373.75,2747.5,4121.25,WIN,expiration,5810.0,-4660.0,580.0,1290.0,835.0,3345.0,5035.0,5280.0
