trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2022-09-02,2022-09-09,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3983.57,4067.62,3985.0,3970.0,4000.0,70.0,24.16,19.74,108.9,70.0,17.5,35.0,52.5,WIN,expiration,70.0,-1230.0,-15.0,-15.0,-15.0,17.5,-15.0,-15.0,-15.0,-15.0
2022-09-09,2022-09-16,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4045.35,3872.56,4045.0,4025.0,4065.0,135.0,22.91,22.02,123.4,135.0,33.75,67.5,101.25,WIN,expiration,145.0,-880.0,-15.0,-80.0,-15.0,33.75,-15.0,-80.0,-15.0,-80.0
2022-09-16,2022-09-23,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3840.48,3695.23,3840.0,3815.0,3865.0,165.0,28.34,29.75,158.2,165.0,41.25,82.5,123.75,WIN,expiration,135.0,-2590.0,20.0,10.0,20.0,10.0,20.0,10.0,20.0,10.0
2022-09-23,2022-09-30,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3691.77,3589.7,3690.0,3665.0,3715.0,150.0,29.13,29.93,153.0,150.0,37.5,75.0,112.5,WIN,expiration,155.0,-530.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
2022-09-30,2022-10-07,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3643.29,3640.38,3645.0,3620.0,3670.0,160.0,31.01,29.93,151.0,-1878.0,40.0,80.0,120.0,LOSS,expiration,135.0,-3910.0,-25.0,60.0,-25.0,40.0,-25.0,80.0,-25.0,120.0
2022-10-07,2022-10-14,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3667.11,3585.73,3665.0,3640.0,3690.0,105.0,31.61,31.69,161.0,105.0,26.25,52.5,78.75,WIN,expiration,107.5,-2120.0,-50.0,-40.0,-50.0,-40.0,-50.0,-40.0,-50.0,-40.0
2022-10-14,2022-10-21,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3677.16,3752.75,3675.0,3650.0,3700.0,135.0,31.65,31.96,162.8,135.0,33.75,67.5,101.25,WIN,expiration,115.0,-3660.0,-55.0,-30.0,-55.0,-30.0,-55.0,-30.0,-55.0,-30.0
2022-10-21,2022-10-28,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3700.91,3900.55,3700.0,3680.0,3720.0,115.0,29.38,26.93,138.0,115.0,28.75,57.5,86.25,WIN,expiration,135.0,-3800.0,40.0,0.0,28.75,28.75,57.5,57.5,40.0,86.25
2022-10-28,2022-11-04,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3835.58,3770.42,3835.0,3810.0,3860.0,155.0,27.39,29.36,156.0,155.0,38.75,77.5,116.25,WIN,expiration,152.5,-3330.0,-0.0,-70.0,-0.0,38.75,-0.0,77.5,-0.0,-70.0
2022-11-04,2022-11-11,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3759.4,3992.21,3760.0,3740.0,3780.0,105.0,24.72,27.82,144.8,105.0,26.25,52.5,78.75,WIN,expiration,605.0,-4440.0,0.0,10.0,0.0,26.25,0.0,10.0,0.0,10.0
