trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2024-10-18,2024-10-25,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5851.48,5808.0,5850.0,5810.0,5890.0,760.0,18.85,10.48,84.9,760.0,745.0,745.0,745.0,WIN,expiration,745.0,-1830.0,-35.0,-170.0
2024-10-25,2024-11-01,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5851.3,5728.43,5850.0,5800.0,5900.0,695.0,18.36,12.36,100.2,695.0,312.5,405.0,555.0,WIN,expiration,692.5,-2180.0,-250.0,-440.0
2024-11-01,2024-11-08,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5749.02,5996.62,5750.0,5660.0,5840.0,1605.0,21.61,22.67,180.4,1605.0,600.0,845.0,1415.0,WIN,expiration,1755.0,-3530.0,250.0,-135.0
2024-11-08,2024-11-15,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5988.72,5869.75,5990.0,5950.0,6030.0,545.0,14.79,9.92,82.3,545.0,487.5,487.5,487.5,WIN,expiration,542.5,-1580.0,-185.0,-280.0
2024-11-15,2024-11-22,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5900.51,5968.26,5900.0,5850.0,5950.0,885.0,14.96,12.83,104.8,885.0,250.0,545.0,715.0,WIN,expiration,885.0,-1240.0,-110.0,-140.0
2024-11-22,2024-11-29,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5970.42,6034.11,5970.0,5930.0,6010.0,790.0,16.1,10.27,84.9,790.0,325.0,490.0,730.0,WIN,expiration,1015.0,-3410.0,35.0,-115.0
2024-11-29,2024-12-06,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6019.0,6088.76,6020.0,5980.0,6060.0,800.0,13.67,9.01,75.1,800.0,240.0,585.0,780.0,WIN,expiration,1280.0,-1540.0,45.0,-70.0
2024-12-06,2024-12-13,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6098.24,6050.83,6100.0,6065.0,6135.0,655.0,13.07,8.35,70.5,655.0,572.5,572.5,572.5,WIN,expiration,652.5,-1930.0,-175.0,-135.0
2024-12-13,2024-12-20,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),6068.64,5932.8,6070.0,6030.0,6110.0,835.0,13.46,9.35,78.6,835.0,442.5,442.5,792.5,WIN,expiration,845.0,-2280.0,-105.0,-135.0
2024-12-20,2024-12-27,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5846.0,5972.25,5845.0,5775.0,5915.0,1365.0,22.35,17.35,140.5,1365.0,665.0,835.0,1210.0,WIN,expiration,1500.0,-2330.0,580.0,865.0
