trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-08-08,2025-08-14,36,6468.54,20.5,25.35,610.0
2025-08-08,2025-08-15,35,6449.8,21.55,21.1,930.0
2025-08-08,2025-08-18,32,6449.15,18.2,17.2,1655.0
2025-08-08,2025-08-19,31,6411.37,21.5,11.05,1940.0
2025-08-08,2025-08-20,30,6395.78,23.1,8.55,2030.0
2025-08-08,2025-08-21,29,6370.17,27.4,6.75,1780.0
2025-08-08,2025-08-22,28,6466.91,12.8,13.9,2525.0
2025-08-08,2025-08-25,25,6439.32,12.6,8.9,3045.0
2025-08-08,2025-08-26,24,6465.94,11.15,10.95,2985.0
2025-08-08,2025-08-27,23,6481.4,10.85,12.55,2855.0
2025-08-08,2025-08-28,22,6501.86,7.6,13.85,3050.0
2025-08-08,2025-08-29,21,6460.26,10.15,7.05,3475.0
2025-08-08,2025-09-02,17,6415.54,13.85,3.1,3500.0
2025-08-08,2025-09-03,16,6448.26,8.7,3.7,3955.0
2025-08-08,2025-09-04,15,6502.08,5.4,6.85,3970.0
2025-08-08,2025-09-05,14,6481.5,4.4,3.25,4430.0
2025-08-08,2025-09-08,11,6495.15,3.1,3.025,4582.5
2025-08-08,2025-09-09,10,6512.61,2.775,3.1,4607.5
2025-08-08,2025-09-10,9,6532.04,2.575,5.05,4432.5
2025-08-08,2025-09-11,8,6587.47,1.35,11.95,3865.0
2025-08-08,2025-09-12,7,6584.29,1.15,7.5,4330.0
2025-08-08,2025-09-15,4,6615.28,0.8,14.7,3645.0
2025-08-08,2025-09-16,3,6606.76,0.75,13.8,3740.0
2025-08-08,2025-09-17,2,6600.35,0.225,4.5,4722.5
2025-08-08,2025-09-18,1,6631.96,0.225,6.6,4512.5
2025-08-08,2025-09-19,0,6664.36,0.0,14.3599,3759.01
2025-08-29,2025-08-29,42,6460.26,34.3,16.35,0.0
2025-08-29,2025-09-02,38,6415.54,43.2,9.75,-230.0
2025-08-29,2025-09-03,37,6448.26,33.6,11.85,520.0
2025-08-29,2025-09-04,36,6502.08,24.8,18.25,760.0
2025-08-29,2025-09-05,35,6481.5,24.8,12.85,1300.0
2025-08-29,2025-09-08,32,6495.15,20.95,13.4,1630.0
2025-08-29,2025-09-09,31,6512.61,19.15,12.5,1900.0
2025-08-29,2025-09-10,30,6532.04,17.45,16.4,1680.0
2025-08-29,2025-09-11,29,6587.47,12.35,28.45,985.0
2025-08-29,2025-09-12,28,6584.29,11.8,25.6,1325.0
2025-08-29,2025-09-15,25,6615.28,10.55,35.6,450.0
2025-08-29,2025-09-16,24,6606.76,11.35,35.7,360.0
2025-08-29,2025-09-17,23,6600.35,9.55,29.55,1155.0
2025-08-29,2025-09-18,22,6631.96,8.25,37.15,525.0
2025-08-29,2025-09-19,21,6664.36,6.2,45.55,-110.0
2025-08-29,2025-09-22,18,6693.75,4.9,57.45,-1170.0
2025-08-29,2025-09-23,17,6656.92,5.1,41.95,360.0
2025-08-29,2025-09-24,16,6637.97,4.0,29.85,1680.0
2025-08-29,2025-09-25,15,6604.72,4.1,17.35,2920.0
2025-08-29,2025-09-26,14,6643.7,2.25,20.95,2745.0
2025-08-29,2025-09-29,11,6661.21,1.825,21.0,2782.5
2025-08-29,2025-09-30,10,6688.46,2.0,25.2,2345.0
2025-08-29,2025-10-01,9,6711.2,1.5,33.55,1560.0
2025-08-29,2025-10-02,8,6715.35,1.2,36.75,1270.0
2025-08-29,2025-10-03,7,6715.79,0.8,28.05,2180.0
2025-08-29,2025-10-06,4,6740.28,0.4,35.85,1440.0
2025-08-29,2025-10-07,3,6714.59,0.3,19.25,3110.0
2025-08-29,2025-10-08,2,6753.72,0.125,35.85,1467.5
2025-08-29,2025-10-09,1,6735.11,0.15,22.55,2795.0
2025-08-29,2025-10-10,0,6552.51,0.0,0.0,5065.0
2025-09-26,2025-09-26,42,6643.7,35.45,21.0,-0.0
2025-09-26,2025-09-29,39,6661.21,33.15,22.4,90.0
2025-09-26,2025-09-30,38,6688.46,30.85,24.75,85.0
2025-09-26,2025-10-01,37,6711.2,27.7,27.55,120.0
2025-09-26,2025-10-02,36,6715.35,27.5,30.2,-125.0
2025-09-26,2025-10-03,35,6715.79,27.3,26.75,240.0
2025-09-26,2025-10-06,32,6740.28,21.55,31.1,380.0
2025-09-26,2025-10-07,31,6714.59,25.0,25.4,605.0
2025-09-26,2025-10-08,30,6753.72,18.8,29.75,790.0
2025-09-26,2025-10-09,29,6735.11,18.95,23.5,1400.0
2025-09-26,2025-10-10,28,6552.51,57.3,6.6,-745.0
2025-09-26,2025-10-13,25,6654.72,29.55,9.45,1745.0
2025-09-26,2025-10-14,24,6644.31,32.8,9.35,1430.0
2025-09-26,2025-10-15,23,6671.06,29.9,13.1,1345.0
2025-09-26,2025-10-16,22,6629.07,49.05,11.75,-435.0
2025-09-26,2025-10-17,21,6664.01,28.65,9.3,1850.0
2025-09-26,2025-10-20,18,6735.13,13.3,12.7,3045.0
2025-09-26,2025-10-21,17,6735.35,11.75,9.45,3525.0
2025-09-26,2025-10-22,16,6699.4,13.7,5.3,3745.0
2025-09-26,2025-10-23,15,6738.44,8.05,6.75,4165.0
2025-09-26,2025-10-24,14,6791.69,4.9,12.0,3955.0
2025-09-26,2025-10-27,11,6875.16,1.85,34.3,2030.0
2025-09-26,2025-10-28,10,6890.89,1.925,43.0,1152.5
2025-09-26,2025-10-29,9,6890.59,1.3,40.4,1475.0
2025-09-26,2025-10-30,8,6822.34,0.725,14.55,4117.5
2025-09-26,2025-10-31,7,6840.2,0.525,9.45,4647.5
2025-09-26,2025-11-03,4,6851.97,0.3,5.25,5090.0
2025-09-26,2025-11-04,3,6771.55,0.3,0.175,5597.5
2025-09-26,2025-11-05,2,6796.29,0.1,0.075,5627.5
2025-09-26,2025-11-06,1,6720.32,0.15,0.075,5622.5
2025-09-26,2025-11-07,0,6728.8,0.0,0.0,5645.0
2025-10-24,2025-10-24,42,6791.69,38.0,21.4,0.0
2025-10-24,2025-10-27,39,6875.16,26.65,41.2,-845.0
2025-10-24,2025-10-28,38,6890.89,27.3,50.05,-1795.0
2025-10-24,2025-10-29,37,6890.59,28.0,48.6,-1720.0
2025-10-24,2025-10-30,36,6822.34,31.45,31.55,-360.0
2025-10-24,2025-10-31,35,6840.2,32.45,31.0,-405.0
2025-10-24,2025-11-03,32,6851.97,26.15,28.95,430.0
2025-10-24,2025-11-04,31,6771.55,38.1,14.8,650.0
2025-10-24,2025-11-05,30,6796.29,29.6,15.1,1470.0
2025-10-24,2025-11-06,29,6720.32,42.1,8.4,890.0
2025-10-24,2025-11-07,28,6728.8,37.55,7.1,1475.0
2025-10-24,2025-11-10,25,6832.43,19.05,13.8,2655.0
2025-10-24,2025-11-11,24,6846.61,15.45,13.7,3025.0
2025-10-24,2025-11-12,23,6850.92,14.55,13.35,3150.0
2025-10-24,2025-11-13,22,6737.49,29.5,4.85,2505.0
2025-10-24,2025-11-14,21,6734.11,29.5,2.775,2712.5
2025-10-24,2025-11-17,18,6672.41,37.2,1.475,2072.5
2025-10-24,2025-11-18,17,6617.32,52.5,0.775,612.5
2025-10-24,2025-11-19,16,6642.16,42.75,0.725,1592.5
